Index,Date,Open,High,Low,Close,Volume
SP500,2000-02-25,1353.43,1362.14,1329.15,1333.36,1065200000
SP500,2000-02-28,1333.36,1360.82,1325.07,1348.05,1026500000
SP500,2000-02-29,1348.05,1369.63,1348.05,1366.42,1204300000
SP500,2000-03-01,1366.42,1383.46,1366.42,1379.19,1274100000
SP500,2000-03-02,1379.19,1386.56,1370.35,1381.76,1198600000
SP500,2000-03-03,1381.76,1410.88,1381.76,1409.17,1150300000
SP500,2000-03-06,1409.17,1409.74,1384.75,1391.28,1029000000
SP500,2000-03-07,1391.28,1399.21,1349.99,1355.62,1314100000
SP500,2000-03-08,1355.62,1373.79,1346.62,1366.7,1203000000
SP500,2000-03-09,1366.7,1401.82,1357.88,1401.69,1123000000
SP500,2000-03-10,1401.69,1413.46,1392.07,1395.07,1138800000
SP500,2000-03-13,1395.07,1398.39,1364.84,1383.62,1016100000
SP500,2000-03-14,1383.62,1395.15,1359.15,1359.15,1094000000
SP500,2000-03-15,1359.15,1397.99,1356.99,1392.14,1302800000
SP500,2000-03-16,1392.15,1458.47,1392.15,1458.47,1482300000
SP500,2000-03-17,1458.47,1477.33,1453.32,1464.47,1295100000
SP500,2000-03-20,1464.47,1470.3,1448.49,1456.63,920800000
SP500,2000-03-21,1456.63,1493.92,1446.06,1493.87,1065900000
SP500,2000-03-22,1493.87,1505.08,1487.33,1500.64,1075000000
SP500,2000-03-23,1500.64,1532.5,1492.39,1527.35,1078300000
SP500,2000-03-24,1527.35,1552.87,1516.83,1527.46,1052200000
SP500,2000-03-27,1527.46,1534.63,1518.46,1523.86,901000000
SP500,2000-03-28,1523.86,1527.36,1507.09,1507.73,959100000
SP500,2000-03-29,1507.73,1521.45,1497.45,1508.52,1061900000
SP500,2000-03-30,1508.52,1517.38,1474.63,1487.92,1193400000
SP500,2000-03-31,1487.92,1519.81,1484.38,1498.58,1227400000
SP500,2000-04-03,1498.58,1507.19,1486.96,1505.97,1021700000
SP500,2000-04-04,1505.98,1526.45,1416.41,1494.73,1515460000
SP500,2000-04-05,1494.73,1506.55,1478.05,1487.37,1110300000
SP500,2000-04-06,1487.37,1511.76,1487.37,1501.34,1008000000
SP500,2000-04-07,1501.34,1518.68,1501.34,1516.35,891600000
SP500,2000-04-10,1516.35,1527.19,1503.35,1504.46,853700000
SP500,2000-04-11,1504.46,1512.8,1486.78,1500.59,971400000
SP500,2000-04-12,1500.59,1509.08,1466.15,1467.17,1175900000
SP500,2000-04-13,1467.17,1477.52,1439.34,1440.51,1032000000
SP500,2000-04-14,1440.51,1440.51,1339.4,1356.56,1279700000
SP500,2000-04-17,1356.56,1401.53,1346.5,1401.44,1204700000
SP500,2000-04-18,1401.44,1441.61,1397.81,1441.61,1109400000
SP500,2000-04-19,1441.61,1447.69,1424.26,1427.47,1001400000
SP500,2000-04-20,1427.47,1435.49,1422.08,1434.54,896200000
SP500,2000-04-24,1434.54,1434.54,1407.13,1429.86,868700000
SP500,2000-04-25,1429.86,1477.67,1429.86,1477.44,1071100000
SP500,2000-04-26,1477.44,1482.94,1456.98,1460.99,999600000
SP500,2000-04-27,1460.99,1469.21,1434.81,1464.92,1111000000
SP500,2000-04-28,1464.92,1473.62,1448.15,1452.43,984600000
SP500,2000-05-01,1452.43,1481.51,1452.43,1468.25,966300000
SP500,2000-05-02,1468.25,1468.25,1445.22,1446.29,1011500000
SP500,2000-05-03,1446.29,1446.29,1398.36,1415.1,991600000
SP500,2000-05-04,1415.1,1420.99,1404.94,1409.57,925800000
SP500,2000-05-05,1409.57,1436.03,1405.08,1432.63,805500000
SP500,2000-05-08,1432.63,1432.63,1417.05,1424.17,787600000
SP500,2000-05-09,1424.17,1430.28,1401.85,1412.14,896600000
SP500,2000-05-10,1412.14,1412.14,1375.14,1383.05,1006400000
SP500,2000-05-11,1383.05,1410.26,1383.05,1407.81,953600000
SP500,2000-05-12,1407.81,1430.13,1407.81,1420.96,858200000
SP500,2000-05-15,1420.96,1452.39,1416.54,1452.36,854600000
SP500,2000-05-16,1452.36,1470.4,1450.76,1466.04,955500000
SP500,2000-05-17,1466.04,1466.04,1441.67,1447.8,820500000
SP500,2000-05-18,1447.8,1458.04,1436.59,1437.21,807900000
SP500,2000-05-19,1437.21,1437.21,1401.74,1406.95,853700000
SP500,2000-05-22,1406.95,1410.55,1368.73,1400.72,869000000
SP500,2000-05-23,1400.72,1403.77,1373.43,1373.86,869900000
SP500,2000-05-24,1373.86,1401.75,1361.09,1399.05,1152300000
SP500,2000-05-25,1399.05,1411.65,1373.93,1381.52,984500000
SP500,2000-05-26,1381.52,1391.42,1369.75,1378.02,722600000
SP500,2000-05-30,1378.02,1422.45,1378.02,1422.45,844200000
SP500,2000-05-31,1422.44,1434.49,1415.5,1420.6,960500000
SP500,2000-06-01,1420.6,1448.81,1420.6,1448.81,960100000
SP500,2000-06-02,1448.81,1483.23,1448.81,1477.26,1162400000
SP500,2000-06-05,1477.26,1477.28,1464.68,1467.63,838600000
SP500,2000-06-06,1467.63,1471.36,1454.74,1457.84,950100000
SP500,2000-06-07,1457.84,1474.64,1455.06,1471.36,854600000
SP500,2000-06-08,1471.36,1475.65,1456.49,1461.67,854300000
SP500,2000-06-09,1461.67,1472.67,1454.96,1456.95,786000000
SP500,2000-06-12,1456.95,1462.93,1445.99,1446.0,774100000
SP500,2000-06-13,1446.0,1470.42,1442.38,1469.44,935900000
SP500,2000-06-14,1469.44,1483.62,1467.71,1470.54,929700000
SP500,2000-06-15,1470.54,1482.04,1464.62,1478.73,1011400000
SP500,2000-06-16,1478.73,1480.77,1460.42,1464.46,1250800000
SP500,2000-06-19,1464.46,1488.93,1459.05,1486.0,921700000
SP500,2000-06-20,1486.0,1487.32,1470.18,1475.95,1031500000
SP500,2000-06-21,1475.95,1482.19,1468.0,1479.13,1009600000
SP500,2000-06-22,1479.13,1479.13,1448.03,1452.18,1022700000
SP500,2000-06-23,1452.18,1459.94,1438.31,1441.48,847600000
SP500,2000-06-26,1441.48,1459.66,1441.48,1455.31,889000000
SP500,2000-06-27,1455.31,1463.35,1450.55,1450.55,1042500000
SP500,2000-06-28,1450.55,1467.63,1450.55,1454.82,1095100000
SP500,2000-06-29,1454.82,1455.14,1434.63,1442.39,1110900000
SP500,2000-06-30,1442.39,1454.68,1438.71,1454.6,1459700000
SP500,2000-07-03,1454.6,1469.58,1450.85,1469.54,451900000
SP500,2000-07-05,1469.54,1469.54,1442.45,1446.23,1019300000
SP500,2000-07-06,1446.23,1461.65,1439.56,1456.67,947300000
SP500,2000-07-07,1456.67,1484.12,1456.67,1478.9,931700000
SP500,2000-07-10,1478.9,1486.56,1474.76,1475.62,838700000
SP500,2000-07-11,1475.62,1488.77,1470.48,1480.88,980500000
